;ITALIAN
DIALOG/objective/mech_nest_start_02;Ho rilevato una concentrazione insolita di creature vicino alla nostra posizione. Potrebbe trattarsi di un nido ostile.
DIALOG/objective/mech_nest_start_03;Ashley, i miei sensori rilevano molto movimento attorno a un punto vicino alla nostra posizione. Potrebbe trattarsi di un nido ostile.
DIALOG/objective/ashley_nest_start_02;Dovremmo controllare. Sto segnando quel punto sulla mappa.
DIALOG/objective/ashley_nest_start_03;Andiamo a controllare quell’area il prima possibile. Non vogliamo che diventi un problema più grande.
DIALOG/objective/mech_nest_encounter_02;È un nido ostile, Ashley. Dobbiamo distruggerlo per impedire a queste creature di attaccarci.
DIALOG/objective/mech_nest_encounter_03;Attenzione. Stiamo avvicinandoci a un grande nido. Aspettati creature ostili nei dintorni.
DIALOG/objective/ashley_nest_encounter_02;Affrontiamolo in fretta. Non possiamo permettere che l’infestazione si diffonda.
DIALOG/objective/ashley_nest_encounter_03;Dobbiamo distruggerlo per fermare gli attacchi futuri. Facciamolo rapidamente.
DIALOG/objective/mech_nest_end_02;Nido ostile distrutto. Minaccia eliminata.
DIALOG/objective/mech_nest_end_03;Obiettivo completato, Ashley. Questo fermerà gli attacchi da quest’area.
DIALOG/objective/ashley_nest_end_02;Bene, un problema in meno.
DIALOG/objective/ashley_nest_end_03;Ok, torniamo ai nostri obiettivi principali.
DIALOG/objective/mech_nest_multiple_start_02;I miei sensori rilevano una grande infestazione vicino alla nostra posizione. Le creature ostili si stanno radunando rapidamente in quell’area e inizieranno presto ad attaccarci. Dobbiamo eliminare questa minaccia al più presto.
DIALOG/objective/mech_nest_multiple_start_03;Attenzione. Ho rilevato una grossa infestazione ostile vicino alla nostra posizione. Aspettati attacchi nemici continui finché non la eliminiamo.
DIALOG/objective/ashley_nest_multiple_start_02;Ricevuto, Mr. Riggs. Dobbiamo distruggere tutti i nidi ostili il prima possibile.
DIALOG/objective/ashley_nest_multiple_start_03;Capito. Raggiungiamo quell’area il prima possibile. Più aspettiamo, più sarà difficile liberarla.
DIALOG/objective/ashley_nest_multiple_end_02;Penso che fosse l’ultimo di questi nidi. Speriamo che non tornino troppo presto.
DIALOG/objective/ashley_nest_multiple_end_03;Sembra che abbiamo distrutto tutti i nidi in quest’area.
DIALOG/objective/mech_nest_multiple_end_02;Ottimo lavoro, Ashley. Ora possiamo tornare agli obiettivi principali.
DIALOG/objective/mech_nest_multiple_end_03;Obiettivo completato. Minaccia eliminata.
