;ITALIAN
DIALOG/story/headquarters/ashley_rift_station_open_05;No, non dobbiamo tornare attraverso il portale. Penso che ci sia un modo diverso.
DIALOG/story/headquarters/ashley_ending_stay_09;È da un bel po' che penso alla possibilità di estendere la nostra missione su Galatea, ma ero titubante sul fatto che saremmo stati in grado di farcela. Sono certa che restare qui sia la scelta giusta, quella che porterà il maggior beneficio sia all’Umanità che a Galatea, e allo stesso tempo so che è la strada più lunga e più difficile.
DIALOG/story/headquarters/mech_ending_stay_09;Quel che è fatto è fatto, Ashley. Hai preso la tua decisione. Hai un piano per andare oltre questo punto?
DIALOG/story/headquarters/ashley_ending_stay_10;Sì, ma dovremo andare oltre i compiti originariamente previsti per la nostra missione e utilizzare tecnologie che non erano state progettate per questa tuta meccanica. Ho bisogno che tu acceda al repository dei modelli di progetti di Nano‑Fabbricazione Comune e decomprimi gli schemi specifici delle Megastrutture.
DIALOG/story/headquarters/mech_ending_stay_10;Posso accedere a quei progetti, ma non posso usarli. Sono stati progettati per macchine di fabbricazione su scala cittadina molto più grandi. I requisiti di output di risorse per costruire Megastrutture superano le soglie operative dei miei sistemi di assemblaggio.
DIALOG/story/headquarters/ashley_ending_stay_11;È vero, ma possiamo modificare gli schemi e costruirli pezzo per pezzo.
DIALOG/story/headquarters/mech_ending_stay_11;È possibile, ma richiede molto tempo. Dovremmo aumentare la nostra potenza di calcolo per preparare queste megastrutture in tempi ragionevoli. Potrei costruire una base semi‑funzionante per un Laboratorio Cortex Quantico. È l’unica Megastruttura sulla quale posso iniziare a lavorare senza modifiche aggiuntive.
DIALOG/story/headquarters/ashley_ending_stay_12;Faceva parte del mio piano, Mr. Riggs. Lasciare collassare il portale della Stazione di Fenditura può sembrare una decisione dell’ultimo minuto, ma maturava dentro di me da molto tempo. Comunque, proviamo prima a costruire questa cosa. Ti spiegherò il resto quando ci arriveremo.
DIALOG/story/headquarters/mech_ending_stay_12;Ho aggiunto la base del Laboratorio Cortex Quantico all’elenco degli schemi disponibili. Controlla per favore i requisiti di costruzione e manutenzione, poi scegli con attenzione dove vuoi costruirlo. Ricorda che non deve per forza sorgere al nostro QG. Alcuni biomi potrebbero essere più adatti a ospitare questo progetto.
DIALOG/story/headquarters/ashley_ending_stay_13;Questa Megastruttura è di tutt’altra categoria. I requisiti di energia e di plasma sovraccaricato sono molto più alti di qualsiasi cosa abbiamo mai costruito. Forse dovremmo cercare una nuova posizione della base per costruire questo mostro. La Stazione di Fenditura era un gioco da ragazzi in confronto.
