;ITALIAN
monster_name/arachnoid_boss;Capo aracnoide
monster_name/arachnoid;Aracnoide
monster_name/arachnoid_alpha;Aracnoide Alfa
monster_name/arachnoid_elite;Aracnoide Elite
monster_name/arachnoid_ultra;Aracnoide Ultra
monster_name/baxmoth;Falena di Bax
monster_name/baxmoth_alpha;Baxmoth Alfa
monster_name/baxmoth_ultra;Baxmoth Ultra
monster_name/bitrid;Bitride
monster_name/bitrid_alpha;Bitride alfa
monster_name/bitrid_ultra;Ultra bitrido
monster_name/bomogan;Bomogan
monster_name/bomogan_alpha;Bomogan Alfa
monster_name/bomogan_ultra;Bomogan Ultra
monster_name/canoptrix;Canoptrice
monster_name/canoptrix_alpha;Canoptrix Alpha
monster_name/canoptrix_ultra;Canoptrix Ultra
monster_name/carnicinth;Carnicinto
monster_name/carnicinth_alpha;Carnicinto alfa
monster_name/carnicinth_ultra;Carnicinto Ultra
monster_name/crader;Crader
monster_name/crader_alpha;Alfa di Crader
monster_name/crader_ultra;Crader Ultra
monster_name/creeper;Fermentus Acidus (lievito acido)
monster_name/drexolian;Drexoliano
monster_name/drexolian_alpha;Drexoliano Alfa
monster_name/drexolian_ultra;Drexoliana Ultra
monster_name/geotrupex;Geotrupex
monster_name/geotrupex_alpha;Geotrupex Alpha
monster_name/geotrupex_ultra;Geotrupex Ultra
monster_name/gnerot;Gnerot
monster_name/gnerot_alpha;Gnerot Alfa
monster_name/gnerot_ultra;Gnerot Ultra
monster_name/gnerot_boss;Capo Gnerot
monster_name/granan;Granatina
monster_name/granan_alpha;Granatina alfa
monster_name/granan_ultra;Granatina Ultra
monster_name/hammeroceros;Martelloceros
monster_name/hammeroceros_alpha;Martelloceros Alpha
monster_name/hammeroceros_ultra;Martelloceros Ultra
monster_name/hedroner;Edronico
monster_name/hedroner_alpha;Hedroner Alfa
monster_name/hedroner_ultra;Hedroner Ultra
monster_name/hedroner_morphium;Morfio di Hedroner
monster_name/jurvine;Giovinezza
monster_name/jurvine_alpha;Alfa di Jurvine
monster_name/jurvine_ultra;Ultra Jurvine
monster_name/kermon;Kermon
monster_name/kermon_alpha;Kermon Alfa
monster_name/kermon_ultra;Kermon Ultra
monster_name/kermon_metallic;Kermon Metallic
monster_name/krocoon;Crocoon
monster_name/krocoon_alpha;Krocoon Alfa
monster_name/krocoon_ultra;Crocoon Ultra
monster_name/lesigian;Lesigiano
monster_name/lesigian_alpha;Alfa lesigiano
monster_name/lesigian_ultra;Lesigian Ultra
monster_name/magmoth;Magmotta
monster_name/magmoth_alpha;Magmoth Alfa
monster_name/magmoth_ultra;Magmoth Ultra
monster_name/moltug;Moltiplicare
monster_name/moltug_alpha;Molti alfa
monster_name/moltug_ultra;Molto Ultra
monster_name/mothray;Razza falena
monster_name/mothray_alpha;Razza falena alfa
monster_name/mothray_ultra;Raggio di sole ultra
monster_name/mushbit;Mozzicone di fungo
monster_name/mushbit_alpha;Mushbit Alpha
monster_name/mushbit_ultra;Mushbit Ultra
monster_name/necrodon;Necrodonte
monster_name/necrodon_alpha;Necrodonte Alfa
monster_name/necrodon_ultra;Necrodonte Ultra
monster_name/nerilian;Neriliano
monster_name/nerilian_alpha;Neriliano Alfa
monster_name/nerilian_ultra;Neriliano Ultra
monster_name/nurglax;Nurglax
monster_name/nurglax_alpha;Nurglax Alfa
monster_name/nurglax_ultra;Nurglax Ultra
monster_name/phirian;Fyrian
monster_name/phirian_alpha;Alfa di Phirian
monster_name/phirian_ultra;Phirian Ultra
monster_name/quelver;Quelver
monster_name/quelver_alpha;Quelver Alpha
monster_name/quelver_ultra;Quelver Ultra
monster_name/rugwig;Rugwig
monster_name/rugwig_alpha;Alfa di Rugwig
monster_name/rugwig_ultra;Rugwig Ultra
monster_name/shegret;Segreto
monster_name/shegret_alpha;Shegret Alfa
monster_name/shegret_ultra;Shegret Ultra
monster_name/spawner_canoptrix;Canoptrix - Nido
monster_name/spawner_granan;Granan - Nido
monster_name/spawner_morirot;Morirot - Nido
monster_name/spawner_mushbit;Mushbit - Nido
monster_name/stregaros;Stregatti
monster_name/stregaros_alpha;Strega Alpha
monster_name/stregaros_ultra;Strega Ultra
monster_name/sulphorit;solforite
monster_name/sulphorit_alpha;Solforite alfa
monster_name/sulphorit_ultra;Solforite Ultra
monster_name/vathamite;Vathamita
monster_name/vathamite_alpha;Vathamita Alfa
monster_name/vathamite_ultra;Ultra Vathamita
monster_name/venomine;Venomicina
monster_name/venomine_alpha;Venomimina alfa
monster_name/venomine_ultra;Venomi Ultra
monster_name/vesaurus;Vesauro
monster_name/vesaurus_alpha;Vesauro Alfa
monster_name/vesaurus_ultra;Vesauro Ultra
monster_name/morirot;Morirotto
monster_name/morirot_alpha;Alfa di Morirot
monster_name/morirot_ultra;Morirot Ultra
monster_name/zorant;Zorant
monster_name/zorant_alpha;Zorant Alfa
monster_name/zorant_ultra;Zorant Ultra
monster_name/bradron;Bradrone
monster_name/bradron_alpha;Alfa di Bradron
monster_name/bradron_ultra;Bradron Ultra
monster_name/brabit;Brabita
monster_name/flurian;Fluriano
monster_name/flurian_alpha;Fluriano Alfa
monster_name/flurian_ultra;Ultra Fluriano
monster_name/hedroner_morphium;Morfio di Hedroner
monster_name/idapian;Idapio
monster_name/idapian_metallic;Metallico Idapico
monster_name/octabit;Ottabita
monster_name/octabit_alpha;Alfa ottabit
monster_name/octabit_ultra;Ottabibit Ultra
monster_name/stonger;Più forte
monster_name/wingmite;Mietitore alare
monster_name/wingmite_alpha;Alfa Wingmite
monster_name/wingmite_ultra;Wingmite Ultra
monster_name/stregaros_crystal;Cristalli
monster_name/stregaros_crystal_alpha;Cristallo Alpha
monster_name/stregaros_crystal_ultra;Cristallo Ultra
monster_name/arachnoid_crystal;Aracnomorto
monster_name/arachnoid_crystal_alpha;Aracnomorto alfa
monster_name/arachnoid_crystal_ultra;Aracnomorto Ultra
monster_name/canoptrix_crystal;Canomorto
monster_name/canoptrix_crystal_alpha;Canomortus Alfa
monster_name/canoptrix_crystal_ultra;Canomortus Ultra
monster_name/crysder;Cristallino
monster_name/moltug_crystal;Cristallo
monster_name/moltug_crystal_alpha;Alfa cristallino
monster_name/moltug_crystal_ultra;Cristallo Ultra
monster_name/crawlog;Registro di scansione
monster_name/crawlog_alpha;Alfa di Crawlog
monster_name/crawlog_ultra;Tracciato di scorrimento ultra
monster_name/gulgor;Gulgor
monster_name/gulgor_alpha;Alfa di Gulgor
monster_name/gulgor_ultra;Gulgor Ultra
monster_name/drillgor;Trapano
monster_name/drillgor_alpha;Trapano Alpha
monster_name/drillgor_ultra;Trapano Ultra
monster_name/viremoth;Viremoto
monster_name/viremoth_alpha;Viremoth Alfa
monster_name/viremoth_ultra;Viremoth Ultra
monster_name/gnerot_caverns;Caverna
monster_name/anoryxian_boss;Verme Anoryx
monster_name/anoryxian_boss_alpha;Verme Anoryx
monster_name/mudroner;Mudroner
monster_name/mudroner_alpha;Mudroner Alpha
monster_name/mudroner_ultra;Mudroner Ultra
monster_name/plutrodon;Plutrodon
monster_name/plutrodon_alpha;Plutrodon Alpha
monster_name/plutrodon_ultra;Plutrodon Ultra
monster_name/fungor;Fungor
monster_name/fungor_alpha;Fungor Alpha
monster_name/fungor_ultra;Fungor Ultra
monster_name/stickrid;Stickrid
monster_name/stickrid_alpha;Stickrid Alpha
monster_name/stickrid_ultra;Stickrid Ultra
monster_name/artigian;Artigian
monster_name/artigian_alpha;Artigian Alpha
monster_name/artigian_ultra;Artigian Ultra
monster_name/invigor;Invigor
monster_name/invigor_alpha;Invigor Alpha
monster_name/invigor_ultra;Invigor Ultra
monster_name/canceroth;Canceroth
monster_name/canceroth_alpha;Canceroth Alpha
monster_name/canceroth_ultra;Canceroth Ultra
monster_name/poogret;Poogret
monster_name/poogret_alpha;Poogret Alpha
monster_name/poogret_ultra;Poogret Ultra
monster_name/darnot;Darnot
monster_name/lurkid;Lurkid
monster_name/spawner_swamp;Spawrot
monster_name/spawner_swamp_canceroth;Canceroth – Gniazdo
prop_name/cactus_anemone_orange;Bulbus Anemone Luteus
